GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NCD_HYP_DIAGNOSIS_A,"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, age-standardized",,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,21.5,21.5 [12.9-32.0],12.9,32.0
NCD_BMI_MEAN,Mean BMI (kg/m²) (age-standardized estimate),,1982,1982,1982,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
R_afford_gdp,Affordability - percentage of GDP per capita required to purchase 2000 cigarettes of the most sold brand,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,12.42,12.42,,
imr,Infant mortality rate (deaths per 1000 live births),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,66.3437,66.3 [61.2-71.5],61.15663,71.53078
NUT_CF_MMF,Minimum Meal Frequency 6-23 months,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,AGEGROUP,AGEGROUP_MONTHS16-19,16 to 19 months,33.0,33.0 [29.1-37.0],29.1,37.0
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,Spirits,0.26,0.26,,
NUT_CF_MAD,Minimum Acceptable Diet 6-23 months,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP80,Wealth - Top 80%,16.6,16.6 [14.6-18.7],14.6,18.7
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1987,1987,1987,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
NCD_HYP_PREVALENCE_C,"Prevalence of hypertension among adults aged 30-79 years, crude",,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,39.4,39.4 [29.5-49.8],29.5,49.8
bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,AGEGROUP,AGEGROUP_YEARS15-19,15-19 years of age,62.5533,62.6 [57.4-67.5],57.36448,67.46874
vdpt,DTP3 immunization coverage among one-year-olds (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201012,south kordofan,51.69591,51.7 [41.9-61.3],41.94802,61.31642
TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.8,0.8,,
NCD_HYP_DIAGNOSIS_C,"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude",,2018,2018,2018,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,36.8,36.8 [23.8-51.1],23.8,51.1
uwgt5,Underweight prevalence in children aged < 5 years (%) (Health inequality monitor),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,23.24361,23.2 [21.1-25.5],21.10035,25.53413
SA_0000001726,Penalties for drink driving,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,PENALTYTYPE,PENALTYTYPE_SA_PENALTY_POINTS,Penalty points,,No,,
SA_0000001679,Exports of beer (barley) in 1000s hectolitres,,2002,2002,2002,EMR,Eastern Mediterranean,SDN,Sudan,,,,,0,,
NUT_BF_EVBF,Ever breastfed,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,99.5,99.5 [98.9-99.8],98.9,99.8
stunt5,Stunting prevalence in children aged < 5 years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201417,central darfur,,No data,,
R_Other_average,Average - taxes as a % of cigarette price - other taxes,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not available,,
wast5,Wasting prevalence in children aged < 5 years (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201015,south darfur,,No data,,
vita,Children aged 6-59 months who received vitamin A supplementation (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE01,Decile 1 (poorest),65.4724,65.5 [60.3-70.3],60.26522,70.3331
R_Other_estimate,Most sold brand of cigarettes - taxes as a % of price - other taxes,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,0,,
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,1998,1998,1998,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,16.80094,16.8 [13.14-21.57],13.13818,21.56624
NCD_HYP_TREATMENT_C,"Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, crude",,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,22.4,22.4 [13.0-33.7],13.0,33.7
TB_notif_num,Number of people notified with new episode of TB in a given year,,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_BCPTB,Bacteriologically confirmed pulmonary TB,7419.0,7419,,
VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,,2019,2019,2019,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,8.61794,8.6 [3.5-16.5],3.50895,16.48699
UHCTRANSFATS,Best-practice policy implemented for industrially produced trans-fatty acids (TFA) (Y/N),,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No data,,
u5mr,Under-five mortality rate (deaths per 1000 live births),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201409,sinnar,53.22359,53.2 [44.3-62.1],44.33662,62.11057
bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,Decile 8,73.12297,73.1 [67.6-78.0],67.61694,77.99747
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,,,,642.18473,642 [491-847],491.17187,846.50749
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,11.95024,11.95 [9.34-15.34],9.34497,15.33972
bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201402,river nile,74.07513,74.1 [66.1-80.7],66.14462,80.69026
sba5,Births attended by skilled health personnel (in the five years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,Decile 2,,No data,,
imr,Infant mortality rate (deaths per 1000 live births),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201418,east darfur,84.59618,84.6 [72.5-96.7],72.48709,96.70528
bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201403,red sea,74.24047,74.2 [63.6-82.6],63.557,82.64713
NCD_HYP_DIAGNOSIS_A,"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, age-standardized",,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,16.9,16.9 [8.5-28.4],8.5,28.4
cci,Composite coverage index (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201404,kassala,53.40516,53.4 [45.8-60.9],45.80399,60.85143
SA_0000001450,"Age-standardized death rates, poisoning, per 100,000",,2002,2002,2002,EMR,Eastern Mediterranean,SDN,Sudan,,,,2.07,2.07,,
NCD_HYP_PREVALENCE_C,"Prevalence of hypertension among adults aged 30-79 years, crude",,2015,2015,2015,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,37.0,37.0 [28.5-45.8],28.5,45.8
NCD_CCS_ALC_TARGET,Existence of a national target on alcohol,,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
RSUD_80,Health professionals mostly involved in treatment of substance use disorders,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,SUBSTANCETYPEDISORDER,SUBSTANCETYPEDISORDER_DRUG_USE_DISORDERS,Drug use disorders,,Psychiatrists,,
TB_sldst_avail,Second-line drug susceptibility testing (DST) available,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,2003,2003,2003,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,Beer,0.0,0,,
SA_0000001755_ARCHIVED,"15-19 years old heavy episodic drinkers (population), % with 95%CI",,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,0.5,0.5 [0.0-1.3],0.0,1.3
NCD_HYP_PREVALENCE_A,"Prevalence of hypertension among adults aged 30-79 years, age-standardized",,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,43.6,43.6 [34.8-52.4],34.8,52.4
NCD_HYP_TREATMENT_A,"Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, age-standardized",,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,10.0,10.0 [4.4-18.0],4.4,18.0
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,1997,1997,1997,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,6.08124,6.08 [1.64-12.02],1.6444,12.02322
carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201007,gezira,68.74609,68.7 [58.2-77.7],58.19077,77.65964
SA_0000001508,Advertising restrictions on cable television,,2019,2019,2019,EMR,Eastern Mediterranean,SDN,Sudan,ADVERTISINGTYPE,ADVERTISINGTYPE_SA_SPIRITS_ADS,Spirits Ads,,No data,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1989,1989,1989,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
MALARIA_EST_CASES,Estimated number of malaria cases,,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,,,,1140986.0,1 140 986 [850 000-1 493 000],850000.0,1493000.0
VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,6.11638,6.1 [3.4-10.4],3.43696,10.40958
wast5,Wasting prevalence in children aged < 5 years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE07,Decile 7,,No data,,
E1_nat_tv_radio,Ban on advertising: National TV and radio,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
imr,Infant mortality rate (deaths per 1000 live births),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,Decile 2,61.463,61.5 [51.4-71.5],51.41825,71.50775
CHOLERA_0000000002,Number of reported deaths from cholera,,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,,,,1011.0,1011,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,Wine,0.0,0,,
TB_notif_num_agesex,Number of people diagnosed with new episode TB who by age group and sex.,,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,523.0,523,,
SDGDISASTER,Average death rate due to natural disasters (per 100 000 population),,2005,2005,2005,EMR,Eastern Mediterranean,SDN,Sudan,,,,4.18069,4.18,,
CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),,2003,2003,2003,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,5.34531,5.35 [0.95-9.78],0.95178,9.78278
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,,No data,,
NUTRITION_ANAEMIA_PREGNANT_PREV,Prevalence of anaemia in pregnant women (aged 15-49) (%),,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,SEVERITY,SEVERITY_MILD,Mild,21.5,21.5 [13.1-28.5],13.1,28.5
VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,4.90427,4.9 [3.6-7.0],3.63978,7.02204
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1995,1995,1995,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
sba5,Births attended by skilled health personnel (in the five years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201003,red sea,,No data,,
MALARIA_ACT_TREATED,Number of malaria cases treated with artemisinin-based combination therapies (ACTs),,2020,2020,2020,EMR,Eastern Mediterranean,SDN,Sudan,,,,4863826.0,4 863 826,,
CHOLERA_0000000003,Cholera case fatality rate,,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,,,,,0.38,,
ors,Children aged < 5 years with diarrhoea receiving oral rehydration salts (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201007,gezira,10.4835,10.5 [6.6-16.2],6.60486,16.24369
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,,2001,2001,2001,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not tested/reported,,
imr,Infant mortality rate (deaths per 1000 live births),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201403,red sea,32.04355,32.0 [21.4-42.7],21.39385,42.69326
MENING_1,Number of suspected meningitis deaths reported,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,25.0,25,,
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,,2011,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,9476.0,9476 [7470-12 114],7470.0,12114.0
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,Beer,0.0,0,,
E1_nat_tv_radio,Ban on advertising: National TV and radio,,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
SA_0000001817,Tax incentives for production of other alcoholic beverages,,2019,2019,2019,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
R_Price_mp_estimate,Most sold brand of cigarettes - price in currency reported,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,6.0,6,,
